tX;tY;tZ;rX;rY;rZ;rW;time(s)
1.084846;8.793498;-0.4534436;-0.003356142;0.8846597;-0.4661816;-0.006368857;0
1.084794;8.787272;-0.455208;-0.007098636;0.8870066;-0.4615006;-0.01364361;0.0333334
1.085681;8.782285;-0.4571145;-0.009304954;0.8884343;-0.4585553;-0.01802801;0.0666668
1.086306;8.776831;-0.4607684;-0.01305522;0.8909339;-0.4532194;-0.02566381;0.1000002
1.085696;8.773039;-0.4623092;-0.0167366;0.8930434;-0.4484221;-0.03333133;0.1333336
1.084299;8.767937;-0.4672032;-0.02110424;0.8945581;-0.4444276;-0.0424793;0.166667
1.085429;8.766412;-0.4710202;-0.02870603;0.8955486;-0.4401794;-0.05840265;0.2000004
1.083716;8.761654;-0.4716092;-0.03659148;0.8961654;-0.4357588;-0.07525267;0.2333338
1.0825;8.756493;-0.4724221;-0.0416954;0.8973987;-0.4305635;-0.08690331;0.2666672
1.082095;8.751617;-0.4776678;-0.04236109;0.898741;-0.4272344;-0.08911184;0.3000006
1.080102;8.746178;-0.4812047;-0.04084777;0.9002543;-0.4247077;-0.08658518;0.333334
1.079549;8.744005;-0.4831911;-0.04084777;0.9002543;-0.4247077;-0.08658518;0.3666674
1.079532;8.741201;-0.488772;-0.04084777;0.9002543;-0.4247077;-0.08658518;0.4000008
1.078548;8.734853;-0.491942;-0.04084777;0.9002543;-0.4247077;-0.08658518;0.4333342
1.077039;8.730942;-0.4930458;-0.04084777;0.9002543;-0.4247077;-0.08658518;0.4666676
1.078106;8.727111;-0.4959156;-0.04084777;0.9002543;-0.4247077;-0.08658518;0.500001
1.076082;8.723766;-0.4990252;-0.04084777;0.9002543;-0.4247077;-0.08658518;0.5333344
1.075972;8.719682;-0.5040107;-0.04112573;0.9001975;-0.4246809;-0.08717435;0.5666678
1.077425;8.715834;-0.5048276;-0.04382617;0.8993601;-0.4250056;-0.09274113;0.6000012
1.075296;8.714076;-0.5098225;-0.044783;0.8998082;-0.4234177;-0.09516869;0.6333346
1.076499;8.70931;-0.5142397;-0.04788109;0.9025667;-0.4150151;-0.1041308;0.6666679
1.07424;8.703096;-0.5180591;-0.05135448;0.9058702;-0.4043856;-0.1150399;0.7000014
1.074147;8.698792;-0.5205001;-0.05408731;0.9079223;-0.3967796;-0.1237641;0.7333348
1.072191;8.695506;-0.5241337;-0.05748471;0.9097829;-0.3884074;-0.1346488;0.7666681
1.07366;8.68978;-0.5281774;-0.0591502;0.9112772;-0.3823642;-0.1409709;0.8000016
1.072819;8.684026;-0.5331522;-0.05998378;0.9138188;-0.3739696;-0.1465742;0.833335
1.069853;8.681467;-0.5382668;-0.0596252;0.9160051;-0.3678837;-0.1484627;0.8666683
1.066315;8.675718;-0.5400693;-0.05832576;0.9167267;-0.3674769;-0.1455024;0.9000018
1.06566;8.67092;-0.5458919;-0.05443311;0.9171675;-0.371142;-0.1345153;0.9333352
1.06507;8.665403;-0.5508379;-0.05443311;0.9171675;-0.371142;-0.1345153;0.9666685
1.062673;8.663328;-0.5558723;-0.05443311;0.9171675;-0.371142;-0.1345153;1.000002
1.059627;8.661727;-0.5616223;-0.05443311;0.9171675;-0.371142;-0.1345153;1.033335
1.05751;8.656327;-0.5632816;-0.05443311;0.9171675;-0.371142;-0.1345153;1.066669
1.058154;8.651422;-0.5655907;-0.05443311;0.9171675;-0.371142;-0.1345153;1.100002
1.055847;8.646802;-0.5693442;-0.05443311;0.9171675;-0.371142;-0.1345153;1.133336
1.05637;8.644675;-0.5706601;-0.05443311;0.9171675;-0.371142;-0.1345153;1.166669
1.056732;8.638803;-0.5752412;-0.05443311;0.9171675;-0.371142;-0.1345153;1.200002
1.053989;8.633265;-0.5791368;-0.05443311;0.9171675;-0.371142;-0.1345153;1.233336
1.050795;8.631536;-0.5829409;-0.05443311;0.9171675;-0.371142;-0.1345153;1.266669
1.051983;8.63026;-0.588227;-0.05443311;0.9171675;-0.371142;-0.1345153;1.300003
1.052339;8.628938;-0.5908436;-0.05443311;0.9171675;-0.371142;-0.1345153;1.333336
1.053098;8.627636;-0.5950912;-0.05443311;0.9171675;-0.371142;-0.1345153;1.366669
1.053541;8.624775;-0.5985191;-0.05443311;0.9171675;-0.371142;-0.1345153;1.400003
1.053288;8.620189;-0.6019645;-0.05443311;0.9171675;-0.371142;-0.1345153;1.433336
1.049923;8.617776;-0.6071948;-0.05424355;0.9168125;-0.3723956;-0.1335439;1.46667
1.050456;8.615329;-0.6090548;-0.05399982;0.9168997;-0.3724311;-0.1329439;1.500003
1.051159;8.609857;-0.6139091;-0.05424355;0.9168125;-0.3723956;-0.1335439;1.533336
1.052087;8.608287;-0.6161765;-0.05502954;0.9161047;-0.3735059;-0.134972;1.56667
1.05029;8.607228;-0.6200751;-0.05641156;0.9146446;-0.376056;-0.1372044;1.600003
1.04818;8.603521;-0.6242607;-0.05770692;0.9125623;-0.3804473;-0.1384191;1.633337
1.049423;8.598837;-0.6297684;-0.05855698;0.9105126;-0.3852009;-0.1384131;1.66667
1.049287;8.597146;-0.6313385;-0.05951382;0.9075043;-0.3923596;-0.1376519;1.700003
1.048589;8.593365;-0.6335629;-0.05979475;0.9060462;-0.3959597;-0.1368241;1.733337
1.047132;8.591915;-0.6388385;-0.05988429;0.9057868;-0.3965526;-0.1367849;1.76667
1.04657;8.588056;-0.640773;-0.05988429;0.9057868;-0.3965526;-0.1367849;1.800004
1.044855;8.58434;-0.6437284;-0.05988429;0.9057868;-0.3965526;-0.1367849;1.833337
1.045305;8.58013;-0.6471612;-0.0600141;0.905742;-0.396533;-0.1370814;1.86667
1.044243;8.577713;-0.6515085;-0.06044261;0.9058211;-0.3958613;-0.1383065;1.900004
1.043926;8.574831;-0.6569222;-0.06074012;0.9059437;-0.395209;-0.1392356;1.933337
1.045225;8.57285;-0.6598836;-0.06095305;0.9059817;-0.3948726;-0.1398485;1.966671
1.045233;8.569269;-0.6607917;-0.06133137;0.906185;-0.3939031;-0.1410945;2.000004
1.046464;8.567905;-0.6629015;-0.06485005;0.9075962;-0.3857194;-0.1525919;2.033337
1.044562;8.564313;-0.6641687;-0.06759313;0.9087501;-0.378509;-0.1622822;2.066671
1.043822;8.56297;-0.6679178;-0.0710896;0.9108278;-0.3661506;-0.1768408;2.100004
1.044178;8.558167;-0.6724809;-0.07377266;0.9142209;-0.3481934;-0.1936984;2.133337
1.040948;8.556128;-0.6737358;-0.07433135;0.9167248;-0.3361544;-0.2027086;2.166671
1.040931;8.553514;-0.6768687;-0.07424451;0.9178702;-0.3311326;-0.2057992;2.200004
1.041448;8.549803;-0.6828315;-0.07410748;0.9186105;-0.3280062;-0.2075446;2.233338
1.040493;8.544285;-0.6873557;-0.0738152;0.9193681;-0.325227;-0.2086646;2.266671
1.037851;8.54332;-0.6896935;-0.07307564;0.9212391;-0.3181078;-0.2116268;2.300004
1.03445;8.540046;-0.6910974;-0.07157008;0.9238678;-0.3092341;-0.2138228;2.333338
