tX,tY,tZ,rX,rY,rZ,rW,time(s)
1.833,9.09995,-2.3055,-0.5421855,-0.7685945,-0.1150198,0.3194805,0
1.833,9.09995,-2.3055,0.4153821,-0.4004428,-0.2107947,-0.7890937,0.0333334
1.833,9.09995,-2.3055,0.4153821,-0.4004428,-0.2107947,-0.7890937,0.0666668
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.1000002
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.1333336
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.166667
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.2000004
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.2333338
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.2666672
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.3000006
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.333334
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.3666674
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.4000008
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.4333342
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.4666676
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.500001
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.5333344
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.5666678
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.6000012
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.6333346
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.6666679
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.7000014
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.7333348
1.833,9.09995,-2.3055,0.4153821,-0.4004429,-0.2107947,-0.7890937,0.7666681
1.833,9.09995,-2.3055,0.4084054,-0.4013192,-0.2065824,-0.7933925,0.8000016
1.833,9.09995,-2.3055,0.405555,-0.4010863,-0.2044743,-0.7955157,0.833335
1.833,9.09995,-2.3055,0.390909,-0.404766,-0.1970901,-0.8028139,0.8666683
1.833,9.09995,-2.3055,0.3544559,-0.4193186,-0.1822165,-0.8156777,0.9000018
